article_id,status,category,primary_keyword,secondary_keywords,search_intent,working_title,slug,output_path,parent_hub,protected_intent_conflict,requires_sources,source_notes,internal_link_targets,commercial_link_target,author,planned_date,score,quality_status,last_checked,published_date,notes,batch_id
XM-0001,PUBLISHED,Xe máy,cách kiểm tra bugi trên honda wave,cách kiểm tra bugi trên honda wave,informational,Cách kiểm tra bugi trên Honda Wave,xm-0001-cach-kiem-tra-bugi-tren-honda-wave,cam-nang/xe-may/xm-0001-cach-kiem-tra-bugi-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-03,96,PASS,2026-09-25,2026-09-25,,BATCH-001
DL-0001,PUBLISHED,Du lịch,kinh nghiệm đi xe máy đến hồ tây từ hà nội,kinh nghiệm đi xe máy đến hồ tây từ hà nội,informational,Kinh nghiệm đi xe máy đến Hồ Tây từ Hà Nội,dl-0001-kinh-nghiem-di-xe-may-den-ho-tay-tu-ha-noi,cam-nang/du-lich/dl-0001-kinh-nghiem-di-xe-may-den-ho-tay-tu-ha-noi.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-04,96,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0001,PUBLISHED,Cung đường,cung đường đi xe máy từ hà nội đến bắc ninh,cung đường đi xe máy từ hà nội đến bắc ninh,informational,Cung đường đi xe máy từ Hà Nội đến Bắc Ninh,cd-0001-cung-duong-di-xe-may-tu-ha-noi-den-bac-ninh,cam-nang/cung-duong/cd-0001-cung-duong-di-xe-may-tu-ha-noi-den-bac-ninh.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-05,96,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0001,PUBLISHED,Hỏi đáp,có cần bằng lái để chạy xe máy 50cc không,có cần bằng lái để chạy xe máy 50cc không,informational,Có cần bằng lái để chạy xe máy 50cc không,hd-0001-co-can-bang-lai-de-chay-xe-may-50cc-khong,cam-nang/hoi-dap/hd-0001-co-can-bang-lai-de-chay-xe-may-50cc-khong.html,hoidap.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-06,99,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0002,PUBLISHED,Kinh nghiệm,thuê honda wave đi đường dài nên chuẩn bị những gì,thuê honda wave đi đường dài nên chuẩn bị những gì,informational,Thuê Honda Wave đi đường dài nên chuẩn bị những gì,kn-0002-thue-honda-wave-di-duong-dai-nen-chuan-bi-nhung-gi,cam-nang/kinh-nghiem/kn-0002-thue-honda-wave-di-duong-dai-nen-chuan-bi-nhung-gi.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-07,100,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0002,PUBLISHED,An toàn,tốc độ tối đa cho xe máy trong khu đô thị,tốc độ tối đa cho xe máy trong khu đô thị,informational,Tốc độ tối đa cho xe máy trong khu đô thị,at-0002-toc-do-toi-da-cho-xe-may-trong-khu-do-thi,cam-nang/an-toan/at-0002-toc-do-toi-da-cho-xe-may-trong-khu-do-thi.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-08,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0002,PUBLISHED,Xe máy,khi nào cần kiểm tra nhớt máy trên honda wave,khi nào cần kiểm tra nhớt máy trên honda wave,informational,Khi nào cần kiểm tra nhớt máy trên Honda Wave,xm-0002-khi-nao-can-kiem-tra-nhot-may-tren-honda-wave,cam-nang/xe-may/xm-0002-khi-nao-can-kiem-tra-nhot-may-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-09,96,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0002,PUBLISHED,Du lịch,đi xe máy đến hồ tây mùa nào đẹp nhất,đi xe máy đến hồ tây mùa nào đẹp nhất,informational,Đi xe máy đến Hồ Tây mùa nào đẹp nhất,dl-0002-di-xe-may-den-ho-tay-mua-nao-dep-nhat,cam-nang/du-lich/dl-0002-di-xe-may-den-ho-tay-mua-nao-dep-nhat.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-10,95,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0002,PUBLISHED,Cung đường,lịch trình 2 ngày 1 đêm đi xe máy đến bắc ninh,lịch trình 2 ngày 1 đêm đi xe máy đến bắc ninh,informational,Lịch trình 2 ngày 1 đêm đi xe máy đến Bắc Ninh,cd-0002-lich-trinh-2-ngay-1-dem-di-xe-may-den-bac-ninh,cam-nang/cung-duong/cd-0002-lich-trinh-2-ngay-1-dem-di-xe-may-den-bac-ninh.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-11,96,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0002,PUBLISHED,Hỏi đáp,khách nước ngoài chạy xe máy ở việt nam cần giấy tờ gì,khách nước ngoài chạy xe máy ở việt nam cần giấy tờ gì,informational,Khách nước ngoài chạy xe máy ở Việt Nam cần giấy tờ gì,hd-0002-khach-nuoc-ngoai-chay-xe-may-o-viet-nam-can-giay-to-gi,cam-nang/hoi-dap/hd-0002-khach-nuoc-ngoai-chay-xe-may-o-viet-nam-can-giay-to-gi.html,hoidap.html,no,false,Không bắt buộc nguồn chính thức,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-12,100,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0003,PUBLISHED,Kinh nghiệm,honda wave có phù hợp với người mới tập lái xe không,honda wave có phù hợp với người mới tập lái xe không,informational,Honda Wave có phù hợp với người mới tập lái xe không,kn-0003-honda-wave-co-phu-hop-voi-nguoi-moi-tap-lai-xe-khong,cam-nang/kinh-nghiem/kn-0003-honda-wave-co-phu-hop-voi-nguoi-moi-tap-lai-xe-khong.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-13,99,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0003,PUBLISHED,An toàn,các lỗi phạt nguội xe máy hay gặp,các lỗi phạt nguội xe máy hay gặp,informational,Các lỗi phạt nguội xe máy hay gặp,at-0003-cac-loi-phat-nguoi-xe-may-hay-gap,cam-nang/an-toan/at-0003-cac-loi-phat-nguoi-xe-may-hay-gap.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-14,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0003,PUBLISHED,Xe máy,dấu hiệu lốp trước gặp vấn đề trên honda wave,dấu hiệu lốp trước gặp vấn đề trên honda wave,informational,Dấu hiệu lốp trước gặp vấn đề trên Honda Wave,xm-0003-dau-hieu-lop-truoc-gap-van-de-tren-honda-wave,cam-nang/xe-may/xm-0003-dau-hieu-lop-truoc-gap-van-de-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-15,96,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0003,PUBLISHED,Du lịch,ăn gì khi du lịch hồ tây bằng xe máy,ăn gì khi du lịch hồ tây bằng xe máy,informational,Ăn gì khi du lịch Hồ Tây bằng xe máy,dl-0003-an-gi-khi-du-lich-ho-tay-bang-xe-may,cam-nang/du-lich/dl-0003-an-gi-khi-du-lich-ho-tay-bang-xe-may.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-16,96,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0003,PUBLISHED,Cung đường,điểm dừng chân đẹp trên cung đường hà nội bắc ninh,điểm dừng chân đẹp trên cung đường hà nội bắc ninh,informational,Điểm dừng chân đẹp trên cung đường Hà Nội Bắc Ninh,cd-0003-diem-dung-chan-dep-tren-cung-duong-ha-noi-bac-ninh,cam-nang/cung-duong/cd-0003-diem-dung-chan-dep-tren-cung-duong-ha-noi-bac-ninh.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-17,96,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0003,PUBLISHED,Hỏi đáp,xe máy điện có cần đăng ký biển số không,xe máy điện có cần đăng ký biển số không,informational,Xe máy điện có cần đăng ký biển số không,hd-0003-xe-may-dien-co-can-dang-ky-bien-so-khong,cam-nang/hoi-dap/hd-0003-xe-may-dien-co-can-dang-ky-bien-so-khong.html,hoidap.html,no,false,Không bắt buộc nguồn chính thức,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-18,99,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0004,PUBLISHED,Kinh nghiệm,kinh nghiệm tiết kiệm xăng khi chạy honda wave,kinh nghiệm tiết kiệm xăng khi chạy honda wave,informational,Kinh nghiệm tiết kiệm xăng khi chạy Honda Wave,kn-0004-kinh-nghiem-tiet-kiem-xang-khi-chay-honda-wave,cam-nang/kinh-nghiem/kn-0004-kinh-nghiem-tiet-kiem-xang-khi-chay-honda-wave.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-19,99,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0004,PUBLISHED,An toàn,lỗi không đội mũ bảo hiểm bị phạt như thế nào,lỗi không đội mũ bảo hiểm bị phạt như thế nào,informational,Lỗi không đội mũ bảo hiểm bị phạt như thế nào,at-0004-loi-khong-doi-mu-bao-hiem-bi-phat-nhu-the-nao,cam-nang/an-toan/at-0004-loi-khong-doi-mu-bao-hiem-bi-phat-nhu-the-nao.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-20,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0004,PUBLISHED,Xe máy,bảo dưỡng lốp sau của honda wave đúng cách,bảo dưỡng lốp sau của honda wave đúng cách,informational,Bảo dưỡng lốp sau của Honda Wave đúng cách,xm-0004-bao-duong-lop-sau-cua-honda-wave-dung-cach,cam-nang/xe-may/xm-0004-bao-duong-lop-sau-cua-honda-wave-dung-cach.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-21,96,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0004,PUBLISHED,Du lịch,những góc chụp ảnh đẹp ở hồ tây cho người đi xe máy,những góc chụp ảnh đẹp ở hồ tây cho người đi xe máy,informational,Những góc chụp ảnh đẹp ở Hồ Tây cho người đi xe máy,dl-0004-nhung-goc-chup-anh-dep-o-ho-tay-cho-nguoi-di-xe-may,cam-nang/du-lich/dl-0004-nhung-goc-chup-anh-dep-o-ho-tay-cho-nguoi-di-xe-may.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-22,95,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0004,PUBLISHED,Cung đường,đi xe máy từ hà nội đến bắc giang mất bao lâu,đi xe máy từ hà nội đến bắc giang mất bao lâu,informational,Đi xe máy từ Hà Nội đến Bắc Giang mất bao lâu,cd-0004-di-xe-may-tu-ha-noi-den-bac-giang-mat-bao-lau,cam-nang/cung-duong/cd-0004-di-xe-may-tu-ha-noi-den-bac-giang-mat-bao-lau.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-23,95,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0004,PUBLISHED,Hỏi đáp,bảo hiểm tnds xe máy là gì,bảo hiểm tnds xe máy là gì,informational,Bảo hiểm TNDS xe máy là gì,hd-0004-bao-hiem-tnds-xe-may-la-gi,cam-nang/hoi-dap/hd-0004-bao-hiem-tnds-xe-may-la-gi.html,hoidap.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-24,100,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0005,PUBLISHED,Kinh nghiệm,nhận biết honda wave cũ kỹ trước khi thuê như thế nào,nhận biết honda wave cũ kỹ trước khi thuê như thế nào,informational,Nhận biết Honda Wave cũ kỹ trước khi thuê như thế nào,kn-0005-nhan-biet-honda-wave-cu-ky-truoc-khi-thue-nhu-the-nao,cam-nang/kinh-nghiem/kn-0005-nhan-biet-honda-wave-cu-ky-truoc-khi-thue-nhu-the-nao.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-25,100,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0005,PUBLISHED,An toàn,chở quá số người quy định trên xe máy bị phạt ra sao,chở quá số người quy định trên xe máy bị phạt ra sao,informational,Chở quá số người quy định trên xe máy bị phạt ra sao,at-0005-cho-qua-so-nguoi-quy-dinh-tren-xe-may-bi-phat-ra-sao,cam-nang/an-toan/at-0005-cho-qua-so-nguoi-quy-dinh-tren-xe-may-bi-phat-ra-sao.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-26,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0005,PUBLISHED,Xe máy,cách kiểm tra bố phanh trên honda wave,cách kiểm tra bố phanh trên honda wave,informational,Cách kiểm tra bố phanh trên Honda Wave,xm-0005-cach-kiem-tra-bo-phanh-tren-honda-wave,cam-nang/xe-may/xm-0005-cach-kiem-tra-bo-phanh-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-27,96,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0005,PUBLISHED,Du lịch,đi xe máy đến hồ hoàn kiếm: cần chuẩn bị gì,đi xe máy đến hồ hoàn kiếm: cần chuẩn bị gì,informational,Đi xe máy đến Hồ Hoàn Kiếm: cần chuẩn bị gì,dl-0005-di-xe-may-den-ho-hoan-kiem-can-chuan-bi-gi,cam-nang/du-lich/dl-0005-di-xe-may-den-ho-hoan-kiem-can-chuan-bi-gi.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-28,100,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0005,PUBLISHED,Cung đường,gợi ý lịch trình cuối tuần đi xe máy đến bắc giang,gợi ý lịch trình cuối tuần đi xe máy đến bắc giang,informational,Gợi ý lịch trình cuối tuần đi xe máy đến Bắc Giang,cd-0005-goi-y-lich-trinh-cuoi-tuan-di-xe-may-den-bac-giang,cam-nang/cung-duong/cd-0005-goi-y-lich-trinh-cuoi-tuan-di-xe-may-den-bac-giang.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-01,96,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0005,PUBLISHED,Hỏi đáp,xe máy chở được mấy người theo quy định,xe máy chở được mấy người theo quy định,informational,Xe máy chở được mấy người theo quy định,hd-0005-xe-may-cho-duoc-may-nguoi-theo-quy-dinh,cam-nang/hoi-dap/hd-0005-xe-may-cho-duoc-may-nguoi-theo-quy-dinh.html,hoidap.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-02,99,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0006,PUBLISHED,Kinh nghiệm,các lỗi hay gặp trên honda wave đã chạy nhiều năm,các lỗi hay gặp trên honda wave đã chạy nhiều năm,informational,Các lỗi hay gặp trên Honda Wave đã chạy nhiều năm,kn-0006-cac-loi-hay-gap-tren-honda-wave-da-chay-nhieu-nam,cam-nang/kinh-nghiem/kn-0006-cac-loi-hay-gap-tren-honda-wave-da-chay-nhieu-nam.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-03,100,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0006,PUBLISHED,An toàn,lùi xe trên đường một chiều có bị phạt không,lùi xe trên đường một chiều có bị phạt không,informational,Lùi xe trên đường một chiều có bị phạt không,at-0006-lui-xe-tren-duong-mot-chieu-co-bi-phat-khong,cam-nang/an-toan/at-0006-lui-xe-tren-duong-mot-chieu-co-bi-phat-khong.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-04,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0006,PUBLISHED,Xe máy,khi nào cần kiểm tra giảm xóc trên honda wave,khi nào cần kiểm tra giảm xóc trên honda wave,informational,Khi nào cần kiểm tra giảm xóc trên Honda Wave,xm-0006-khi-nao-can-kiem-tra-giam-xoc-tren-honda-wave,cam-nang/xe-may/xm-0006-khi-nao-can-kiem-tra-giam-xoc-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-05,96,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0006,PUBLISHED,Du lịch,tháng nào nên đi hồ hoàn kiếm bằng xe máy,tháng nào nên đi hồ hoàn kiếm bằng xe máy,informational,Tháng nào nên đi Hồ Hoàn Kiếm bằng xe máy,dl-0006-thang-nao-nen-di-ho-hoan-kiem-bang-xe-may,cam-nang/du-lich/dl-0006-thang-nao-nen-di-ho-hoan-kiem-bang-xe-may.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-06,100,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0006,PUBLISHED,Cung đường,quán ăn ngon dọc đường đến bắc giang,quán ăn ngon dọc đường đến bắc giang,informational,Quán ăn ngon dọc đường đến Bắc Giang,cd-0006-quan-an-ngon-doc-duong-den-bac-giang,cam-nang/cung-duong/cd-0006-quan-an-ngon-doc-duong-den-bac-giang.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-07,96,PASS,2026-09-26,2026-09-26,,BATCH-001
HD-0006,PUBLISHED,Hỏi đáp,bao nhiêu tuổi được lái xe máy dưới 50cc,bao nhiêu tuổi được lái xe máy dưới 50cc,informational,Bao nhiêu tuổi được lái xe máy dưới 50cc,hd-0006-bao-nhieu-tuoi-duoc-lai-xe-may-duoi-50cc,cam-nang/hoi-dap/hd-0006-bao-nhieu-tuoi-duoc-lai-xe-may-duoi-50cc.html,hoidap.html,no,false,Không bắt buộc nguồn chính thức,hoidap.html; faq.html; kinhnghiem.html,thutuc.html,Mr Tú,2027-06-08,99,PASS,2026-09-26,2026-09-26,,BATCH-001
KN-0007,PUBLISHED,Kinh nghiệm,chạy honda wave chở thêm một người có ổn không,chạy honda wave chở thêm một người có ổn không,informational,Chạy Honda Wave chở thêm một người có ổn không,kn-0007-chay-honda-wave-cho-them-mot-nguoi-co-on-khong,cam-nang/kinh-nghiem/kn-0007-chay-honda-wave-cho-them-mot-nguoi-co-on-khong.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-09,97,PASS,2026-09-26,2026-09-26,,BATCH-001
AT-0007,PUBLISHED,An toàn,vượt đèn đỏ xe máy bị xử phạt thế nào,vượt đèn đỏ xe máy bị xử phạt thế nào,informational,Vượt đèn đỏ xe máy bị xử phạt thế nào,at-0007-vuot-den-do-xe-may-bi-xu-phat-the-nao,cam-nang/an-toan/at-0007-vuot-den-do-xe-may-bi-xu-phat-the-nao.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-10,99,PASS,2026-09-26,2026-09-26,,BATCH-001
XM-0007,PUBLISHED,Xe máy,dấu hiệu ắc quy gặp vấn đề trên honda wave,dấu hiệu ắc quy gặp vấn đề trên honda wave,informational,Dấu hiệu ắc quy gặp vấn đề trên Honda Wave,xm-0007-dau-hieu-ac-quy-gap-van-de-tren-honda-wave,cam-nang/xe-may/xm-0007-dau-hieu-ac-quy-gap-van-de-tren-honda-wave.html,xemay.html,no,false,Không bắt buộc nguồn chính thức,xemay.html; kinhnghiem.html; antoan.html,banggia.html,Mr Tú,2027-06-11,95,PASS,2026-09-26,2026-09-26,,BATCH-001
DL-0007,PUBLISHED,Du lịch,đặc sản hồ hoàn kiếm nào phải thử khi đi xe máy,đặc sản hồ hoàn kiếm nào phải thử khi đi xe máy,informational,Đặc sản Hồ Hoàn Kiếm nào phải thử khi đi xe máy,dl-0007-dac-san-ho-hoan-kiem-nao-phai-thu-khi-di-xe-may,cam-nang/du-lich/dl-0007-dac-san-ho-hoan-kiem-nao-phai-thu-khi-di-xe-may.html,dulich.html,no,false,Không bắt buộc nguồn chính thức,dulich.html; cungduong.html; kinhnghiem.html,banggia.html,Mr Tú,2027-06-12,99,PASS,2026-09-26,2026-09-26,,BATCH-001
CD-0007,PUBLISHED,Cung đường,tuyến đường đẹp từ hà nội đến thái nguyên,tuyến đường đẹp từ hà nội đến thái nguyên,informational,Tuyến đường đẹp từ Hà Nội đến Thái Nguyên,cd-0007-tuyen-duong-dep-tu-ha-noi-den-thai-nguyen,cam-nang/cung-duong/cd-0007-tuyen-duong-dep-tu-ha-noi-den-thai-nguyen.html,cungduong.html,no,false,Không bắt buộc nguồn chính thức,cungduong.html; dulich.html; antoan.html,banggia.html,Mr Tú,2027-06-13,95,PASS,2026-09-26,2026-09-26,,BATCH-001
